,player,balls_faced,total_runs,fours,sixes,dismissals,pp_runs,death_runs,batting_avg,strike_rate,boundary_pct,balls_bowled,wickets,economy,bowl_avg,strike_rate_bowl,dot_pct,pp_wickets,death_wickets,stumpings,role,ewr_wpa_bat,rwpa_powerplay_bat,rwpa_middle_bat,rwpa_death_bat,ewr_wpa_bow,rwpa_powerplay_bow,rwpa_middle_bow,rwpa_death_bow,fran_runs,fran_balls_faced,fran_sr,fran_wickets,fran_balls_bowled,fran_economy,combined_ewr_wpa,recency_bonus,final_score,in_recent_squad,role_order
1,JC Buttler,2517.0,3582.0,356.0,161.0,95.0,1612.0,596.0,37.705263157894734,142.31227651966628,0.20540325784664282,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0,Batsman,5.151009203706045,3.4589948612405177,1.3025997412733579,0.45080922817317143,0.0,0.0,0.0,0.0,527.0,373.0,141.28686327077747,0.0,0.0,0.0,5.151009203706045,0.0,5.151009203706045,False,1
2,Tilak Varma,830.0,1156.0,90.0,58.0,28.0,109.0,297.0,41.285714285714285,139.27710843373492,0.1783132530120482,23.0,0.0,7.304347826086956,999.0,999.0,0.34782608695652173,0.0,0.0,0.0,Batsman,2.6784745321666708,-0.20713270504219672,1.8079946505198172,1.1744249191770022,0.08047160605833795,0.03562484735020025,0.15936768261610137,-0.009557959484044637,1156.0,830.0,139.27710843373492,0.0,23.0,7.304347826086956,2.6784745321666708,0.1,2.9463219853833382,True,1
3,MEK Hussey,1648.0,1977.0,198.0,52.0,52.0,828.0,261.0,38.01923076923077,119.96359223300972,0.15169902912621358,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,Batsman,2.60254726659083,2.876652212374811,-0.5307042335520564,0.3039757549997047,0.0,0.0,0.0,0.0,209.0,187.0,111.76470588235294,0.0,0.0,0.0,2.60254726659083,0.0,2.60254726659083,False,1
4,S Dhawan,5481.0,6769.0,768.0,153.0,194.0,3415.0,668.0,34.891752577319586,123.49936143039591,0.16803503010399562,49.0,4.0,8.816326530612246,18.0,12.25,0.3469387755102041,1.0,0.0,0.0,Batsman,2.5341619664849433,3.1290942659738152,-0.6829082896019356,0.10184660842989408,0.2962751211777615,0.20763447754552694,0.2700335749655579,0.0,231.0,226.0,102.21238938053096,0.0,0.0,0.0,2.5341619664849433,0.0,2.5341619664849433,False,1
5,RV Uthappa,3925.0,4952.0,481.0,182.0,184.0,2035.0,567.0,26.91304347826087,126.1656050955414,0.1689171974522293,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,32.0,Wicketkeeper,5.297210962519787,2.9826271413358665,2.540444094877833,-0.18537203703770913,0.0,0.0,0.0,0.0,320.0,291.0,109.96563573883162,0.0,0.0,0.0,2.6486054812598936,0.0,2.6486054812598936,False,2
6,GJ Maxwell,1841.0,2771.0,233.0,160.0,111.0,432.0,599.0,24.963963963963963,150.5160239000543,0.21347093970668116,965.0,41.0,8.151295336787564,31.975609756097562,23.536585365853657,0.31191709844559584,10.0,3.0,0.0,All-rounder,3.0622122278303676,-0.017539925472915083,3.4815303551808117,-0.3518779483007171,0.9383503581141355,0.5808628770104559,0.5513989547697666,-0.16473995994233157,36.0,27.0,133.33333333333331,0.0,12.0,12.0,2.0002812929722515,0.0,2.0002812929722515,False,3
7,Harbhajan Singh,636.0,833.0,79.0,42.0,56.0,62.0,624.0,14.875,130.9748427672956,0.19025157232704404,3496.0,161.0,7.0383295194508015,25.472049689440993,21.714285714285715,0.3612700228832952,32.0,28.0,0.0,All-rounder,-2.2692795267466734,-0.16045395207024002,0.030510710261091138,-2.2463777720482163,5.281832429969238,1.6559395079322785,3.81352587134779,-0.1423083003122392,799.0,591.0,135.19458544839256,136.0,2989.0,6.93141518902643,1.506276451611282,0.0,1.506276451611282,False,3
8,KA Pollard,2433.0,3412.0,218.0,223.0,126.0,28.0,2032.0,27.07936507936508,140.23838882038635,0.1812577065351418,1586.0,81.0,8.32282471626734,27.160493827160494,19.580246913580247,0.255359394703657,1.0,30.0,0.0,All-rounder,3.226991782649799,0.23175994127686725,-0.35012108042798584,3.3851432027213844,-0.8326137127253944,0.02511951374546332,-0.9288843747838519,0.05540183470532588,3412.0,2433.0,140.23838882038635,81.0,1586.0,8.32282471626734,1.1971890349622023,0.1,1.3169079384584226,True,3
9,JJ Bumrah,80.0,68.0,5.0,1.0,8.0,0.0,63.0,8.5,85.0,0.075,3161.0,178.0,7.231888642834545,21.40449438202247,17.758426966292134,0.3865865232521354,35.0,101.0,0.0,Bowler,-0.6697525704122882,0.0,0.0065106485190136575,-0.92742043283591,6.167845577546566,1.8703250530365698,0.7128672988968725,3.6431901972443783,68.0,80.0,85.0,178.0,3161.0,7.231888642834545,6.167845577546566,0.1,6.7846301353012235,True,4
10,Z Khan,141.0,117.0,11.0,2.0,15.0,0.0,108.0,7.8,82.97872340425532,0.09219858156028368,2276.0,119.0,7.539543057996485,24.03361344537815,19.126050420168067,0.3835676625659051,58.0,46.0,0.0,Bowler,-0.47483934219981216,0.017749251460649762,0.062039506828990953,-0.6556577477660087,3.5552619595219275,2.278304812794033,0.05977429585695001,1.2640448274903022,40.0,31.0,129.03225806451613,31.0,565.0,7.306194690265486,3.5552619595219275,0.0,3.5552619595219275,False,4
